model_key,train_dataset,benchmark,n
falcon_h1_0_5b_base,base,arc_challenge,299
falcon_h1_0_5b_base,base,gsm8k,256
falcon_h1_0_5b_base,base,hellaswag,512
falcon_h1_0_5b_base,base,mmlu,512
falcon_h1_0_5b_base,codealpaca,arc_challenge,299
falcon_h1_0_5b_base,codealpaca,gsm8k,256
falcon_h1_0_5b_base,codealpaca,hellaswag,512
falcon_h1_0_5b_base,codealpaca,humaneval,"157,164"
falcon_h1_0_5b_base,codealpaca,mmlu,512
falcon_h1_0_5b_base,gsm8k_train,arc_challenge,299
falcon_h1_0_5b_base,gsm8k_train,gsm8k,256
falcon_h1_0_5b_base,gsm8k_train,hellaswag,512
falcon_h1_0_5b_base,gsm8k_train,mmlu,512
falcon_h1_0_5b_base,ultrachat,arc_challenge,299
falcon_h1_0_5b_base,ultrachat,gsm8k,256
falcon_h1_0_5b_base,ultrachat,hellaswag,512
falcon_h1_0_5b_base,ultrachat,mmlu,512
qwen3_5_0_8b_base,base,arc_challenge,299
qwen3_5_0_8b_base,base,gsm8k,128
qwen3_5_0_8b_base,base,hellaswag,512
qwen3_5_0_8b_base,base,mmlu,512
qwen3_5_0_8b_base,codealpaca,arc_challenge,299
qwen3_5_0_8b_base,codealpaca,gsm8k,256
qwen3_5_0_8b_base,codealpaca,hellaswag,512
qwen3_5_0_8b_base,codealpaca,humaneval,164
qwen3_5_0_8b_base,codealpaca,mmlu,512
qwen3_5_0_8b_base,gsm8k_train,arc_challenge,299
qwen3_5_0_8b_base,gsm8k_train,gsm8k,128
qwen3_5_0_8b_base,gsm8k_train,hellaswag,512
qwen3_5_0_8b_base,gsm8k_train,mmlu,512
qwen3_5_0_8b_base,ultrachat,arc_challenge,299
qwen3_5_0_8b_base,ultrachat,gsm8k,256
qwen3_5_0_8b_base,ultrachat,hellaswag,512
qwen3_5_0_8b_base,ultrachat,mmlu,512
