model_key,train_dataset,benchmark,condition_a,condition_b,n_shared,mean_diff,ci_low,ci_high
falcon_h1_0_5b_base,codealpaca,mmlu,attention_only,all_eligible,0,,,
falcon_h1_0_5b_base,codealpaca,gsm8k,attention_only,all_eligible,0,,,
falcon_h1_0_5b_base,codealpaca,arc_challenge,attention_only,all_eligible,0,,,
falcon_h1_0_5b_base,codealpaca,hellaswag,attention_only,all_eligible,0,,,
falcon_h1_0_5b_base,codealpaca,humaneval,attention_only,all_eligible,0,,,
falcon_h1_0_5b_base,gsm8k_train,mmlu,attention_only,all_eligible,0,,,
falcon_h1_0_5b_base,gsm8k_train,gsm8k,attention_only,all_eligible,0,,,
falcon_h1_0_5b_base,gsm8k_train,arc_challenge,attention_only,all_eligible,0,,,
falcon_h1_0_5b_base,gsm8k_train,hellaswag,attention_only,all_eligible,0,,,
falcon_h1_0_5b_base,ultrachat,mmlu,attention_only,all_eligible,512,-0.001953125,-0.0234375,0.01953125
falcon_h1_0_5b_base,ultrachat,gsm8k,attention_only,all_eligible,256,0.0546875,-0.01171875,0.1290039062499999
falcon_h1_0_5b_base,ultrachat,arc_challenge,attention_only,all_eligible,299,0.006688963156193495,-0.020066889002919197,0.03344481438398361
falcon_h1_0_5b_base,ultrachat,hellaswag,attention_only,all_eligible,512,0.02734375,0.0078125,0.046875
falcon_h1_0_5b_base,codealpaca,mmlu,ssm_only,attention_only,0,,,
falcon_h1_0_5b_base,codealpaca,gsm8k,ssm_only,attention_only,0,,,
falcon_h1_0_5b_base,codealpaca,arc_challenge,ssm_only,attention_only,0,,,
falcon_h1_0_5b_base,codealpaca,hellaswag,ssm_only,attention_only,0,,,
falcon_h1_0_5b_base,codealpaca,humaneval,ssm_only,attention_only,0,,,
falcon_h1_0_5b_base,gsm8k_train,mmlu,ssm_only,attention_only,0,,,
falcon_h1_0_5b_base,gsm8k_train,gsm8k,ssm_only,attention_only,0,,,
falcon_h1_0_5b_base,gsm8k_train,arc_challenge,ssm_only,attention_only,0,,,
falcon_h1_0_5b_base,gsm8k_train,hellaswag,ssm_only,attention_only,0,,,
falcon_h1_0_5b_base,ultrachat,mmlu,ssm_only,attention_only,512,0.009765625,-0.009765625,0.03125
falcon_h1_0_5b_base,ultrachat,gsm8k,ssm_only,attention_only,256,0.00390625,-0.0703125,0.07421875
falcon_h1_0_5b_base,ultrachat,arc_challenge,ssm_only,attention_only,299,0.0033444815780967474,-0.023411370813846588,0.026839464670047088
falcon_h1_0_5b_base,ultrachat,hellaswag,ssm_only,attention_only,512,-0.0078125,-0.03125,0.017578125
qwen3_5_0_8b_base,codealpaca,mmlu,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,codealpaca,gsm8k,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,codealpaca,arc_challenge,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,codealpaca,hellaswag,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,codealpaca,humaneval,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,gsm8k_train,mmlu,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,gsm8k_train,gsm8k,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,gsm8k_train,arc_challenge,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,gsm8k_train,hellaswag,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,ultrachat,mmlu,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,ultrachat,gsm8k,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,ultrachat,arc_challenge,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,ultrachat,hellaswag,softmax_only,all_layers,0,,,
qwen3_5_0_8b_base,codealpaca,mmlu,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,codealpaca,gsm8k,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,codealpaca,arc_challenge,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,codealpaca,hellaswag,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,codealpaca,humaneval,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,gsm8k_train,mmlu,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,gsm8k_train,gsm8k,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,gsm8k_train,arc_challenge,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,gsm8k_train,hellaswag,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,ultrachat,mmlu,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,ultrachat,gsm8k,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,ultrachat,arc_challenge,gdn_only,softmax_only,0,,,
qwen3_5_0_8b_base,ultrachat,hellaswag,gdn_only,softmax_only,0,,,
